,Book_Name,Author,Rating,Score,Votes,Average_Rating
329,Walden,Henry David Thoreau,189243,43053,582,3.78
330,Fangirl,Rainbow Rowell,745544,42979,496,3.95
331,The Martian,Andy Weir,1121357,42786,501,4.42
332,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,2494237,42747,488,4.2
333,East of Eden,John Steinbeck,538985,42449,504,4.41
334,Sophie’s World,Jostein Gaarder,259435,42185,512,3.96
335,Mrs. Dalloway,Virginia Woolf,306542,41999,547,3.79
336,"Legend (Legend, #1)",Marie Lu,529170,41731,475,4.16
337,Fried Green Tomatoes at the Whistle Stop Cafe (Whistle Stop #1),Fannie Flagg,306653,41394,573,4.28
338,"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,345879,41389,567,4.13
339,The Awakening,Kate Chopin,208678,41229,525,3.68
340,Hamlet,William Shakespeare,952196,41011,513,4.02
341,The Complete Maus,Art Spiegelman,220269,40684,515,4.57
342,All the Light We Cannot See,Anthony Doerr,1661958,40188,465,4.32
343,Sophie’s Choice,William Styron,91067,39978,544,4.17
344,The Graveyard Book,Neil Gaiman,538811,39685,500,4.16
345,Middlemarch,George Eliot,162917,39586,494,4.02
346,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,909881,39503,467,3.83
347,The Prince of Tides,Pat Conroy,208551,39469,520,4.25
348,Stardust,Neil Gaiman,454008,39421,507,4.1
349,The Monster at the End of this Book,Jon Stone,125025,39408,488,4.46
350,Do Androids Dream of Electric Sheep?,Philip K. Dick,451904,39265,505,4.09
351,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,540224,39093,494,3.97
352,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,371944,38930,506,3.73
353,Number the Stars,Lois Lowry,567943,38561,508,4.19
354,Eleanor & Park,Rainbow Rowell,1171502,38550,450,3.94
355,"A Time to Kill (Jake Brigance, #1)",John Grisham,801213,38477,520,4.11
356,Black Beauty,Anna Sewell,278377,38371,554,3.99
357,"Bridget Jones’s Diary (Bridget Jones, #1)",Helen Fielding,983122,38153,525,3.8
358,"The Magician’s Nephew (Chronicles of Narnia, #6)",C.S. Lewis,541392,38062,530,4.05
359,V for Vendetta,Alan Moore,308879,37689,493,4.26
360,Franny and Zooey,J.D. Salinger,222209,37543,481,3.96
361,The Art of Racing in the Rain,Garth Stein,520375,37283,441,4.23
362,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,600599,37214,405,4.31
363,The Witches,Roald Dahl,395953,37133,496,4.18
364,"The Gunslinger (The Dark Tower, #1)",Stephen King,610876,37061,455,3.92
365,The Cruel Prince (Folk of the Air #1),Holly Black,1212992,36917,404,4.05
366,A Short History of Nearly Everything,Bill Bryson,386121,36794,445,4.21
367,American Psycho,Bret Easton Ellis,314137,36659,439,3.81
368,Love You Forever,Robert Munsch,237125,36466,462,4.37
369,White Fang,Jack London,189965,36428,518,4.02
370,Beowulf,Unknown,311151,36389,518,3.48
371,"Allegiant (Divergent, #3)",Veronica Roth,1053042,36372,451,3.6
372,"The Power of One (The Power of One, #1)",Bryce Courtenay,88935,36331,417,4.35
373,The Complete Novels,Jane Austen,33014,35956,486,4.57
374,"If I Stay (If I Stay, #1)",Gayle Forman,906371,35875,433,3.92
375,"Harry Potter Series Box Set (Harry Potter, #1-7)",J.K. Rowling,287722,35825,432,4.74
376,Gulliver’s Travels,Jonathan Swift,274006,35683,546,3.58
377,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,531382,35359,412,4.19
378,A Portrait of the Artist as a Young Man,James Joyce,151914,35102,464,3.64
379,War and Peace,Leo Tolstoy,328134,34933,423,4.16
380,Tuck Everlasting,Natalie Babbitt,274281,34673,471,3.9
381,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,856043,34669,413,3.83
382,Bel Canto,Ann Patchett,283459,34382,418,3.93
383,"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,434278,34280,441,4.13
384,القرآن الكريم,Anonymous,68098,33992,383,4.38
385,11/22/63,Stephen King,540768,33839,404,4.33
386,Go Ask Alice,Beatrice Sparks,275460,33422,447,3.74
387,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,580609,33345,474,3.83
388,"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,3335121,33344,360,4.17
389,The Tell-Tale Heart and Other Writings,Edgar Allan Poe,240056,33338,489,4.19
390,The Martian Chronicles,Ray Bradbury,262126,33331,441,4.15
391,Cold Mountain,Charles Frazier,242749,33201,454,3.88
392,"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,413967,33096,407,4.57
393,"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,336359,33079,390,4.16
394,As I Lay Dying,William Faulkner,168382,32805,440,3.72
395,Mansfield Park,Jane Austen,349661,32745,464,3.86
396,Cloud Atlas,David Mitchell,248826,32653,393,4.01
397,Steppenwolf,Hermann Hesse,185535,32620,416,4.13
398,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,444754,32575,420,4.03
399,The Hunchback of Notre-Dame,Victor Hugo,201166,32540,467,4.02
400,Tao Te Ching,Lao Tzu,157615,32465,412,4.3
401,"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,599502,32462,402,3.77
402,Inferno,Dante Alighieri,182118,32427,439,4.02
403,A Separate Peace,John Knowles,218899,32310,439,3.59
404,"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,374746,31944,414,4.09
405,The Grapes of Wrath,John Steinbeck,906618,31907,422,4.01
406,"Obsidian (Lux, #1)",Jennifer L. Armentrout,282243,31848,360,4.14
407,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,871995,31659,366,4.46
408,The BFG,Roald Dahl,482178,31626,427,4.23
409,"Ignite Me (Shatter Me, #3)",Tahereh Mafi,474235,31179,348,4.47
410,Robinson Crusoe,Daniel Defoe,304675,31032,464,3.68
411,زندگی مه آلود پریا,سید مرتضی مصطفوی,1012,30907,311,3.31
412,The Amazing Adventures of Kavalier & Clay,Michael Chabon,202700,30842,380,4.18
413,Room,Emma Donoghue,803915,30804,382,4.08
414,"Stargirl (Stargirl, #1)",Jerry Spinelli,326571,30756,371,3.77
415,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,230395,30592,388,3.78
416,Doctor Zhivago,Boris Pasternak,96765,30419,457,4.01
417,"The Amber Spyglass (His Dark Materials, #3)",Philip Pullman,360063,30399,391,4.1
418,Midnight’s Children,Salman Rushdie,123783,30162,367,3.98
419,The English Patient,Michael Ondaatje,132019,30152,413,3.87
420,"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare,383866,30136,377,4.39
421,Dear John,Nicholas Sparks,598420,30030,384,4.04
422,The Last Song,Nicholas Sparks,554591,30013,371,4.16
423,The Firm,John Grisham,624485,29936,438,4.06
424,The Remains of the Day,Kazuo Ishiguro,303673,29602,406,4.14
425,The Plague,Albert Camus,263758,29522,400,4.02
426,"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick,322965,29404,364,3.98
427,"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,213441,29382,382,3.85
428,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,1262358,29335,369,3.92
429,Like Water for Chocolate,Laura Esquivel,366822,29156,411,3.95
430,A Little Life,Hanya Yanagihara,618866,29070,305,4.34
431,My Ántonia,Willa Cather,137890,28879,394,3.83
432,"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon,356187,28790,363,4.34
433,Midnight in the Garden of Good and Evil,John Berendt,270327,28450,400,3.92
434,Coraline,Neil Gaiman,692201,28376,369,4.12
435,"Red Queen (Red Queen, #1)",Victoria Aveyard,1009613,28361,321,4.0
436,Breakfast at Tiffany’s and Three Stories,Truman Capote,264822,28298,397,3.85
437,Breakfast of Champions,Kurt Vonnegut Jr.,260586,28266,359,4.07
438,The Origin of Species,Charles Darwin,114578,28236,388,4.01
439,A Streetcar Named Desire,Tennessee Williams,310641,28117,425,3.98
440,"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,164576,28109,323,4.16
441,All the Bright Places,Jennifer Niven,564628,27791,303,4.13
442,"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,435565,27776,372,4.15
443,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,1006268,27775,331,4.36
444,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,369281,27763,328,3.99
445,"Hopeless (Hopeless, #1)",Colleen Hoover,570204,27744,311,4.25
446,The Prince,Niccolò Machiavelli,337638,27741,388,3.84
447,A Fine Balance,Rohinton Mistry,149484,27491,328,4.37
448,"The One (The Selection, #3)",Kiera Cass,686533,27401,323,4.15
449,Infinite Jest,David Foster Wallace,91915,27177,298,4.26
450,Death of a Salesman,Arthur Miller,234409,27055,419,3.57
451,"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,1045256,26934,285,4.33
452,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,934856,26887,323,4.38
453,"Evermore (The Immortals, #1)",Alyson Noel,290464,26747,324,3.59
454,The Virgin Suicides,Jeffrey Eugenides,338053,26664,343,3.8
455,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,731091,26638,349,4.16
456,Carrie,Stephen King,721765,26528,369,3.99
457,"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,199933,26455,386,4.15
458,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,531036,25986,364,4.29
459,Jonathan Strange & Mr. Norrell,Susanna Clarke,236401,25853,319,3.86
460,The Scarlet Pimpernel,Emmuska Orczy,135441,25720,333,4.07
461,Snow Flower and the Secret Fan,Lisa See,372491,25665,327,4.09
462,"The Host (The Host, #1)",Stephenie Meyer,1006403,25615,317,3.86
463,"The Angel Experiment (Maximum Ride, #1)",James Patterson,224653,25419,313,4.07
464,"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,451612,25369,295,3.97
465,"Matched (Matched, #1)",Ally Condie,779343,25271,316,3.63
466,Pet Sematary,Stephen King,591731,25179,334,4.06
467,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,546583,25150,327,3.86
468,"Faust, First Part",Johann Wolfgang von Goethe,76002,25134,340,3.85
469,High Fidelity,Nick Hornby,201535,25002,312,3.91
470,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,682707,24999,327,4.0
471,Where the Crawdads Sing,Delia Owens,2990410,24906,279,4.39
472,The Shipping News,Annie Proulx,146093,24843,341,3.88
473,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,769363,24804,286,4.6
474,Circe,Madeline Miller,1053303,24704,279,4.24
475,We Were Liars,E. Lockhart,1145173,24685,275,3.67
476,Northanger Abbey,Jane Austen,401184,24664,360,3.85
477,The Tales of Beedle the Bard,J.K. Rowling,488416,24566,353,4.04
478,"The Chosen (Reuven Malther, #1)",Chaim Potok,93402,24518,333,4.07
479,Houdini Heart,Ki Longfellow,5464,24357,252,3.84
480,Shantaram,Gregory David Roberts,216137,24217,274,4.27
481,Nineteen Minutes,Jodi Picoult,370700,24106,302,4.16
482,Waiting for Godot,Samuel Beckett,201650,23886,321,3.84
483,To the Lighthouse,Virginia Woolf,183375,23796,321,3.8
484,"Neuromancer (Sprawl, #1)",William Gibson,326994,23612,294,3.9
485,"The Hate U Give (The Hate U Give, #1)",Angie Thomas,897816,23585,269,4.47
486,Persuasion,Jane Austen,702423,23577,302,4.15
487,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,469592,23559,340,4.09
488,Redeeming Love,Francine Rivers,321881,23476,267,4.51
489,The Reader,Bernhard Schlink,210795,23432,332,3.78
490,"I, Robot (Robot, #0.1)",Isaac Asimov,346477,23336,324,4.21
491,"The Lost Symbol (Robert Langdon, #3)",Dan       Brown,608851,23134,299,3.75
492,The Age of Innocence,Edith Wharton,174523,22978,321,3.97
493,"Red, White & Royal Blue",Casey McQuiston,988667,22913,253,4.09
494,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,652560,22812,302,4.34
495,The Exorcist,William Peter Blatty,234578,22701,322,4.2
496,Dubliners,James Joyce,156218,22585,319,3.84
497,The Waste Land,T.S. Eliot,54020,22549,313,4.11
498,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,903946,22116,303,4.56
499,The Invisible Life of Addie LaRue,V.E.  Schwab,1067410,22028,243,4.19
500,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,557159,21982,323,3.85
501,"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward,180445,21841,266,4.43
502,The Twilight Collection,Stephenie Meyer,46470,21835,279,3.81
503,"Betrayed (House of Night, #2)",P.C. Cast,267214,21834,285,3.92
504,The Pearl,John Steinbeck,237997,21831,340,3.53
505,The Goldfinch,Donna Tartt,925312,21756,254,3.94
506,The Republic,Plato,204421,21633,319,3.96
507,The Jungle,Upton Sinclair,145508,21555,299,3.77
508,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,961672,21279,280,4.28
509,A Christmas Carol,Charles Dickens,841572,21178,305,4.08
510,Me Talk Pretty One Day,David Sedaris,698929,21160,287,4.01
511,"Angels & Demons (Robert Langdon, #1)",Dan       Brown,3157813,21149,273,3.94
512,"Voyager (Outlander, #3)",Diana Gabaldon,308275,21136,272,4.39
513,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,1540716,21114,242,4.48
514,Snow Falling on Cedars,David Guterson,187002,21025,302,3.86
515,"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,276215,20963,308,4.01
516,"Untamed (House of Night, #4)",P.C. Cast,235722,20937,272,3.94
517,Everything is Illuminated,Jonathan Safran Foer,179587,20921,258,3.89
518,"I, Claudius (Claudius, #1)",Robert Graves,66614,20917,284,4.24
519,"The 5th Wave (The 5th Wave, #1)",Rick Yancey,457473,20878,253,4.01
520,"Night  (The Night Trilogy, #1)",Elie Wiesel,1244964,20685,260,4.37
521,Emma,Jane Austen,886313,20626,274,4.05
522,The Nightingale,Kristin Hannah,1358999,20559,234,4.62
523,A Room with a View,E.M. Forster,183954,20504,311,3.9
524,Bleak House,Charles Dickens,108650,20177,282,4.02
525,The War of the Worlds,H.G. Wells,314118,20033,301,3.83
526,The Complete Poems of Emily Dickinson,Emily Dickinson,97730,19948,310,4.27
527,"The Elite (The Selection, #2)",Kiera Cass,771055,19879,247,3.95
528,"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,367523,19859,231,4.05
529,"Chosen (House of Night, #3)",P.C. Cast,244633,19773,259,3.91
530,"A Discovery of Witches (All Souls, #1)",Deborah Harkness,491168,19665,233,4.02
531,انتحار فاشل,أحمد جمال الدين رمضان,3050,19650,200,4.58
532,The Woman in White,Wilkie Collins,154445,19602,278,4.01
533,Of Human Bondage,W. Somerset Maugham,57096,19516,272,4.14
534,World War Z: An Oral History of the Zombie War,Max Brooks,525713,19502,248,4.02
535,"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,520965,19479,260,4.01
536,"The Witching Hour (Lives of the Mayfair Witches, #1)",Anne Rice,117514,19475,260,4.1
537,The God Delusion,Richard Dawkins,268040,19424,246,3.9
538,North and South,Elizabeth Gaskell,169983,19271,251,4.15
539,العصبي,أحمد جمال الدين رمضان,2650,19259,196,4.64
540,Brideshead Revisited,Evelyn Waugh,113402,19215,261,4.0
541,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,968958,19208,271,4.48
542,Sense and Sensibility,Jane Austen,1190137,19146,269,4.08
543,Ugly Love,Colleen Hoover,1817655,19111,213,4.05
544,"Unwind (Unwind, #1)",Neal Shusterman,229243,19009,224,4.17
545,"The Iron King (The Iron Fey, #1)",Julie Kagawa,212552,18889,232,3.88
546,"Bloodlines (Bloodlines, #1)",Richelle Mead,185632,18779,239,4.2
547,The Elephant Tree,R.D. Ronald,27025,18745,211,3.69
548,"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,246397,18729,225,4.12
549,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,959563,18532,225,3.93
550,Snow Crash,Neal Stephenson,280071,18459,217,4.02
551,Johnny Got His Gun,Dalton Trumbo,43965,18428,225,4.2
552,Vanity Fair,William Makepeace Thackeray,128177,18295,265,3.8
553,"Bared to You (Crossfire, #1)",Sylvia Day,526791,18246,214,4.14
554,"Cannery Row (Cannery Row, #1)",John Steinbeck,137796,18168,265,4.06
555,2001: A Space Odyssey,Arthur C. Clarke,313554,18159,247,4.17
556,"Torment (Fallen, #2)",Lauren Kate,234784,18110,234,3.85
557,The Left Hand of Darkness,Ursula K. Le Guin,182027,18076,230,4.1
558,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,542050,18074,213,4.14
559,"Cry, the Beloved Country",Alan Paton,74788,18008,248,3.92
560,Far From the Madding Crowd,Thomas Hardy,153341,17990,259,3.96
561,Much Ado About Nothing,William Shakespeare,244303,17937,267,4.06
562,Are You My Mother?,P.D. Eastman,243494,17870,267,4.21
563,The Polar Express,Chris Van Allsburg,240701,17710,280,4.32
564,"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,222244,17702,219,3.8
565,A Monster Calls,Patrick Ness,265660,17698,200,4.35
566,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,505885,17496,246,4.24
567,Sarah's Key,Tatiana de Rosnay,474869,17449,229,4.18
568,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,350116,17438,187,4.76
569,"The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass (The Mortal Instruments, #1-3)",Cassandra Clare,68250,17391,223,4.55
570,"Little House on the Prairie (Little House, #3)",Laura Ingalls Wilder,290714,17377,274,4.21
571,"The Red Pyramid (The Kane Chronicles, #1)",Rick Riordan,395811,17372,232,4.1
572,"Chocolat (Chocolat, #1)",Joanne Harris,125702,17365,261,3.96
573,"The Summoning (Darkest Powers, #1)",Kelley Armstrong,171724,17359,217,4.02
574,"Halfway to the Grave (Night Huntress, #1)",Jeaniene Frost,157961,17318,207,4.13
575,Macbeth,William Shakespeare,897827,17302,234,3.9
576,"Perfect Chemistry (Perfect Chemistry, #1)",Simone Elkeles,259834,17248,203,4.04
577,Just Listen,Sarah Dessen,246890,17210,208,4.05
578,"Anne of Avonlea (Anne of Green Gables, #2)",L.M. Montgomery,198686,17091,268,4.22
579,The Last Lecture,Randy Pausch,345357,17061,213,4.26
580,"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,706870,17054,186,4.17
581,"Silence (Hush, Hush, #3)",Becca Fitzpatrick,282866,16959,218,4.08
582,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,343886,16949,231,3.66
583,"The Darkest Minds (The Darkest Minds, #1)",Alexandra Bracken,191962,16925,195,4.16
584,I'll Give You the Sun,Jandy Nelson,335734,16917,187,4.16
585,"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,350976,16908,258,3.91
586,"Angelfall (Penryn & the End of Days, #1)",Susan Ee,190965,16902,193,4.11
587,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,252608,16872,199,4.26
588,"Sabriel (Abhorsen,  #1)",Garth Nix,208067,16848,207,4.17
589,"Little House in the Big Woods (Little House, #1)",Laura Ingalls Wilder,269098,16844,265,4.2
590,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,650640,16820,197,4.62
591,The Truth About Forever,Sarah Dessen,222902,16758,205,4.12
592,Twelfth Night,William Shakespeare,182682,16755,256,3.97
593,Cutting for Stone,Abraham   Verghese,387060,16736,210,4.32
594,Nine Stories,J.D. Salinger,147458,16702,223,4.18
595,"Ishmael (Ishmael, #1)",Daniel Quinn,97452,16644,201,4.01
596,"Du côté de chez Swann (À la recherche du temps perdu, #1)",Marcel Proust,60149,16639,212,4.14
597,"The Unbecoming of Mara Dyer (Mara Dyer, #1)",Michelle Hodkin,182748,16599,190,4.02
598,"Cress (The Lunar Chronicles, #3)",Marissa Meyer,369000,16545,200,4.41
599,The Westing Game,Ellen Raskin,213024,16471,214,4.0
600,"Trainspotting (Mark Renton, #2)",Irvine Welsh,167172,16460,204,4.1
601,Lady Chatterley’s Lover,D.H. Lawrence,125635,16449,256,3.5
602,"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,493157,16430,179,4.11
603,"The Goose Girl (The Books of Bayern, #1)",Shannon Hale,143444,16381,202,4.14
604,"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore,341591,16356,209,3.94
605,No Country for Old Men,Cormac McCarthy,200263,16327,220,4.16
606,"Dead to the World (Sookie Stackhouse, #4)",Charlaine Harris,258910,16292,220,4.12
607,The Art of War,Sun Tzu,488817,16219,225,3.96
608,"Acheron (Dark-Hunter, #14)",Sherrilyn Kenyon,59749,16206,187,4.56
609,"You Are Special (Wemmicksville, #1)",Max Lucado,52515,16082,190,4.45
610,The Hours,Michael Cunningham,141246,16076,230,3.95
611,"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,420014,16025,201,4.25
612,I Capture the Castle,Dodie Smith,104363,16015,206,4.0
613,Demian. Die Geschichte von Emil Sinclairs Jugend,Hermann Hesse,112330,16004,197,4.14
614,"The Bronze Horseman (The Bronze Horseman, #1)",Paullina Simons,86411,16004,176,4.3
615,"Slammed (Slammed, #1)",Colleen Hoover,363919,15949,181,4.17
616,"The Last Unicorn (The Last Unicorn, #1)",Peter S. Beagle,119710,15940,204,4.18
617,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,255315,15860,201,4.1
618,"Drums of Autumn (Outlander, #4)",Diana Gabaldon,250513,15851,202,4.35
619,The Glass Menagerie,Tennessee Williams,133466,15830,261,3.73
620,Julius Caesar,William Shakespeare,203930,15784,250,3.7
621,"The Wicked King (The Folk of the Air, #2)",Holly Black,752326,15744,178,4.31
622,"The Talisman (The Talisman, #1)",Stephen King,129781,15674,208,4.12
623,Cyrano de Bergerac,Edmond Rostand,84439,15659,225,4.06
624,The Zombie Room,R.D. Ronald,28160,15552,176,3.74
625,"World Without End (Kingsbridge, #2)",Ken Follett,250279,15551,208,4.31
626,The Arabian Nights,Anonymous,77220,15417,231,4.03
627,We Need to Talk About Kevin,Lionel Shriver,195139,15417,191,4.08
628,Sapiens: A Brief History of Humankind,Yuval Noah Harari,1028087,15409,170,4.36
629,"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,317339,15368,204,4.01
630,Interpreter of Maladies,Jhumpa Lahiri,193389,15281,202,4.17
631,"The Queen of the Damned (The Vampire Chronicles, #3)",Anne Rice,151962,15214,217,3.91
632,"Hunted (House of Night, #5)",P.C. Cast,182678,15183,200,3.92
633,"P.S. I Love You (P.S. I Love You, #1)",Cecelia Ahern,381187,15138,196,4.03
634,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,1504502,15115,163,4.59
635,"The Silver Chair (Chronicles of Narnia, #4)",C.S. Lewis,297748,15067,236,3.95
636,"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,193991,15017,171,3.97
637,"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,676673,14955,169,4.36
638,"The Bean Trees (Greer Family, #1)",Barbara Kingsolver,157767,14863,218,4.0
639,"A Dog's Purpose (A Dog's Purpose, #1)",W. Bruce Cameron,132674,14859,174,4.35
640,"Wicked Lovely (Wicked Lovely, #1)",Melissa Marr,163230,14847,186,3.7
641,Daisy Jones & The Six,Taylor Jenkins Reid,1487576,14730,162,4.21
642,The Merchant of Venice,William Shakespeare,188087,14688,236,3.78
643,Before I Fall,Lauren Oliver,337422,14666,176,3.89
644,A Brief History of Time,Stephen Hawking,432108,14606,208,4.21
645,All the King’s Men,Robert Penn Warren,63498,14552,201,4.09
646,"Lover Eternal (Black Dagger Brotherhood, #2)",J.R. Ward,192945,14548,185,4.33
647,"The Secret (The Secret, #1)",Rhonda Byrne,478118,14545,192,3.73
648,"1Q84 (1Q84, #1-3)",Haruki Murakami,259657,14533,172,3.94
649,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,114389,14523,211,3.98
650,Invisible Monsters,Chuck Palahniuk,143547,14506,178,4.0
651,"Carry On (Simon Snow, #1)",Rainbow Rowell,312016,14475,166,4.18
652,"Inferno (Robert Langdon, #4)",Dan       Brown,550513,14452,182,3.89
653,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,295976,14407,163,4.3
654,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,1868601,14404,157,4.65
655,"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,276156,14395,185,4.14
656,I Am Legend and Other Stories,Richard Matheson,131337,14383,194,4.0
657,"The Eyre Affair (Thursday Next, #1)",Jasper Fforde,132395,14368,182,3.89
658,"The Scorch Trials (The Maze Runner, #2)",James Dashner,581259,14366,186,3.9
659,House of Leaves,Mark Z. Danielewski,170136,14362,161,4.09
660,"They Both Die at the End (They Both Die at the End Series, 1)",Adam Silvera,740899,14305,156,3.77
661,"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,438172,14301,246,3.98
662,Gravity’s Rainbow,Thomas Pynchon,44124,14293,167,4.0
